Louvain_cluster,Cluster_Label,Cluster_Index,Celltype,Stage
13988,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13989,S14-neural crest,24,neural crest,S14
13990,S14-tail bud,3,tail bud,S14
13991,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13992,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13993,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13994,S14-posterior placodal area,18,posterior placodal area,S14
13995,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13996,S14-epidermal - collagen,10,epidermal - collagen,S14
13997,S14-Spemann organizer (endoderm),29,Spemann organizer (endoderm),S14
13998,S14-epidermal - collagen,10,epidermal - collagen,S14
13999,S14-epidermal - collagen,10,epidermal - collagen,S14
14000,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14001,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14002,S14-anterior placodal area,19,anterior placodal area,S14
14003,S14-anterior placodal area,19,anterior placodal area,S14
14004,S14-epidermal - collagen,10,epidermal - collagen,S14
14005,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14006,S14-intermediate mesoderm -ssg1,16,intermediate mesoderm -ssg1,S14
14007,S14-tail bud,3,tail bud,S14
14008,S14-chordal neural plate,6,chordal neural plate,S14
14009,S14-chordal neural plate,6,chordal neural plate,S14
14010,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14011,S14-somite,14,somite,S14
14012,S14-Spemann organizer (endoderm),29,Spemann organizer (endoderm),S14
14013,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14014,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14015,S14-tail bud,3,tail bud,S14
14016,S14-somite,14,somite,S14
14017,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14018,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14019,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14020,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
14021,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14022,S14-eye primordium,9,eye primordium,S14
14023,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14024,S14-epidermal - collagen,10,epidermal - collagen,S14
14025,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
14026,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14027,S14-Spemann organizer (endoderm),29,Spemann organizer (endoderm),S14
14028,S14-anterior neural plate - fezf1,4,anterior neural plate - fezf1,S14
14029,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
14030,S14-epidermal - collagen,10,epidermal - collagen,S14
14031,S14-presomitic mesoderm,27,presomitic mesoderm,S14
14032,S14-neuroendocrine cell,22,neuroendocrine cell,S14
14033,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14034,S14-somite,14,somite,S14
14035,S14-somite,14,somite,S14
14036,S14-intermediate mesoderm,15,intermediate mesoderm,S14
14037,S14-tail bud,3,tail bud,S14
14038,S14-epidermal - collagen,10,epidermal - collagen,S14
14039,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
